division_code,district_code,upazila_code,union_code,union_name,union_name_bangla,created_by
30,33,30,31,GACHA,GACHA,admin
30,35,58,22,BATIKAMARI,BATIKAMARI,admin
30,33,30,54,KAWALTIA,KAWALTIA,admin
30,35,32,51,KATHI,KATHI,admin
30,35,32,82,SATPAR,SATPAR,admin
30,26,38,43,KONDA,KONDA,admin
30,26,38,86,THEGHARIA,THEGHARIA,admin
30,26,38,51,ROHITPUR,ROHITPUR,admin
30,26,18,31,BILASHPUR,BILASHPUR,admin
30,26,18,52,NARISHA,NARISHA,admin
30,26,18,21,KUSUMHATI,KUSUMHATI,admin
30,26,38,60,SHAKTA,SHAKTA,admin
60,91,53,45,5. NO. FOTEPUR,5. NO. FOTEPUR,admin
60,90,18,17,SOUTH BADAGHAT,SOUTH BADAGHAT,admin
60,90,18,80,SHOLUKABAD,SHOLUKABAD,admin
60,90,18,20,DHONPUR,DHONPUR,admin
60,90,18,77,PALASH,PALASH,admin
50,64,75,12,AKBARPUR,AKBARPUR,admin
50,64,75,60,NAZIPUR,NAZIPUR,admin
40,50,63,47,KHOKSHA,KHOKSHA,admin
40,50,63,25,BETBARIA,BETBARIA,admin
40,50,63,43,JOYONTIHAZRA,JOYONTIHAZRA,admin
40,50,63,71,SAMOSPUR,SAMOSPUR,admin
55,27,12,69,SOTOGRAM,SOTOGRAM,admin
55,27,12,60,PALTAPUR,PALTAPUR,admin
55,27,12,13,VOGNOGOR,VOGNOGOR,admin
55,27,12,17,MORICHA,MORICHA,admin
40,1,77,38,KHONTAKATA,KHONTAKATA,admin
40,41,90,60,LAXMANPUR,LAXMANPUR,admin
40,50,15,13,BAHADURPUR,BAHADURPUR,admin
40,47,53,94,UTTAR BEDKASHI,UTTAR BEDKASHI,admin
40,47,53,55,KOYRA,KOYRA,admin
40,47,53,11,BAGALI,BAGALI,admin
40,47,53,72,MOHARAJPUR,MOHARAJPUR,admin
55,27,56,15,1 NO DABOR,1 NO DABOR,admin
55,27,56,63,2 NO RASULPUR,2 NO RASULPUR,admin
55,27,56,94,4 NO TARAGAON,4 NO TARAGAON,admin
55,27,56,79,5 NO SUNDORPUR,5 NO SUNDORPUR,admin
60,36,71,25,BAHARA,BAHARA,admin
60,36,71,77,ANDIURA,ANDIURA,admin
60,36,71,34,BULLA,BULLA,admin
60,36,71,43,CHHATIAIN,CHHATIAIN,admin
10,9,21,28,GANGAPUR,GANGAPUR,admin
55,73,36,94,SHOULMARI,SHOULMARI,admin
55,73,36,51,KOIMARI,KOIMARI,admin
55,73,36,14,DAUABARI,DAUABARI,admin
30,93,19,40,FALDA,FALDA,admin
30,93,19,54,GABSARA,GABSARA,admin
30,93,19,81,NIKRAIL,NIKRAIL,admin
30,93,19,27,ALOA,ALOA,admin
30,54,54,35,JHAUDI,JHAUDI,admin
30,54,54,23,DUDKHALI,DUDKHALI,admin
30,54,54,59,KUNIA,KUNIA,admin
30,54,54,17,DHURAIL,DHURAIL,admin
55,32,82,43,FARIDPUR,FARIDPUR,admin
55,32,82,51,EDILPUR,EDILPUR,admin
55,32,82,13,BANGRAM,BANGRAM,admin
55,32,82,60,JAMALPUR,JAMALPUR,admin
45,72,56,31,CHANGAON,CHANGAON,admin
45,72,56,63,MAGHAN,MAGHAN,admin
45,72,56,84,TIOSREE,TIOSREE,admin
45,72,56,73,NAEKPUR,NAEKPUR,admin
50,70,56,38,KASBA,KASBA,admin
50,70,56,19,FOTAPUR,FOTAPUR,admin
50,70,56,57,NACHOLE,NACHOLE,admin
50,70,56,65,NEZAMPUR Individual,NEZAMPUR Individual,admin
20,22,24,83,POKKHALI,POKKHALI,admin
20,22,24,45,JALALABAD,JALALABAD,admin
